epoch,phase,loss,accuracy
0,train,0.3717134331117953,0.894824795028461
0,val,0.08864776076849512,0.9758462946020129
1,train,0.2115253784134809,0.9358713248733616
1,val,0.07407288116497505,0.9791399817017384
2,train,0.1807776406797219,0.9451146273956865
2,val,0.05349159932201975,0.9849954254345837
3,train,0.1629760742276114,0.9487179487179488
3,val,0.07103138758748948,0.9776761207685271
4,train,0.14661468704172673,0.9544623740143089
4,val,0.049503810249084956,0.9864592863677951
5,train,0.14830228693569675,0.9538879314846729
5,val,0.0539885589432002,0.984263494967978
6,train,0.13495676099070852,0.9580656953365712
6,val,0.04864230803542064,0.9870082342177494
7,train,0.11997293755104725,0.9610945741291974
7,val,0.06775215240672558,0.9822506861848125
8,train,0.1261013318868723,0.9604679095514126
8,val,0.05591888703450165,0.9824336688014639
9,train,0.12111835995580772,0.963079011958849
9,val,0.042964812911525437,0.9895699908508692
10,train,0.11388782300613363,0.9646978954514597
10,val,0.037711955008138745,0.9901189387008235
11,train,0.11598630556818729,0.9640712308736749
11,val,0.044606290114890146,0.9875571820677036
12,train,0.11694604254991736,0.9621912371403206
12,val,0.06957873992727556,0.979871912168344
13,train,0.11649482518561366,0.9634967883440388
13,val,0.060229566284989614,0.9853613906678866
14,train,0.10587347034934753,0.9663167789440702
14,val,0.05187911442178493,0.9870082342177494
15,train,0.10346418662976535,0.9664212230403677
15,val,0.04623358200904074,0.9860933211344922
16,train,0.10392985112779903,0.9682489947255731
16,val,0.052661018482812454,0.985544373284538
17,train,0.10013625774026941,0.9680923285811269
17,val,0.04502792920792017,0.9901189387008235
18,train,0.09322742069245811,0.9706512089404147
18,val,0.052499724729693845,0.9860933211344922
19,train,0.09718977597816071,0.97002454436263
19,val,0.0403407951918873,0.9910338517840805
20,train,0.08646630652385914,0.9728445349626612
20,val,0.04294353299974468,0.9884720951509607
21,train,0.09744991991553478,0.9686145490626142
21,val,0.034091322031212935,0.989021043000915
22,train,0.09136994368958391,0.972322314481174
22,val,0.034033410395589325,0.9893870082342178
23,train,0.09615711918062608,0.9700767664107787
23,val,0.03999210769077976,0.9899359560841721
24,train,0.08950936053826303,0.9721134262885791
24,val,0.06638006537518748,0.9795059469350412
25,train,0.09066321798821791,0.9715912058070918
25,val,0.0374293420152898,0.9895699908508692
26,train,0.08229283533683347,0.9736278656848922
26,val,0.03962242351495554,0.989021043000915
27,train,0.08365532839874561,0.97289675701081
27,val,0.030718945371179203,0.9919487648673376
28,train,0.08145466969144756,0.9745678625515694
28,val,0.049495886750510754,0.989021043000915
29,train,0.08352455732925887,0.9750900830330566
29,val,0.03779901705962612,0.9910338517840805
30,train,0.08623594381669503,0.9731056452034049
30,val,0.04900310306399992,0.9879231473010065
31,train,0.07918126240814609,0.974620084599718
31,val,0.03916343457946572,0.9908508691674291
32,train,0.07804442212307361,0.974620084599718
32,val,0.04315444695695549,0.9895699908508692
33,train,0.07722789224375232,0.9757689696589901
33,val,0.05233380165213526,0.9857273559011894
34,train,0.08639702634227674,0.9726878688182151
34,val,0.04058253044462341,0.9893870082342178
35,train,0.08513354688721941,0.9734189774922972
35,val,0.039454120908900485,0.9912168344007319
36,train,0.07476055343375229,0.9768656326701134
36,val,0.04316761753941935,0.9881061299176579
37,train,0.07791192031581856,0.9749856389367592
37,val,0.038558844854153715,0.9886550777676121
38,train,0.0749460811016621,0.9755600814663952
38,val,0.055160879900241024,0.9835315645013725
39,train,0.0733897742990574,0.9763956342367748
39,val,0.040697107657270734,0.9875571820677036
40,train,0.072793793220826,0.9772311870071545
40,val,0.0363155394961801,0.9917657822506862
41,train,0.075468700672503,0.9761867460441799
41,val,0.03679396241516887,0.9917657822506862
42,train,0.07677261450202112,0.9763956342367748
42,val,0.04941435421187318,0.9906678865507778
43,train,0.06674718193840279,0.9789545145960625
43,val,0.045433581747457194,0.9915827996340348
44,train,0.07445213849016677,0.9763956342367748
44,val,0.04474287377177266,0.9895699908508692
45,train,0.07800586582146712,0.9756123035145439
45,val,0.036680848535094054,0.9904849039341264
46,train,0.07264329353918889,0.976552300381221
46,val,0.038628471569272745,0.9913998170173834
47,train,0.06811366916116757,0.9790067366442112
47,val,0.03743482704193356,0.9923147301006405
48,train,0.06847364386490486,0.9791634027886574
48,val,0.042666471561729244,0.9899359560841721
49,train,0.06992235416348457,0.9773878531516006
49,val,0.04343505560960246,0.9903019213174749
